Amount,Old_balance,New_balance,Transaction_type,Location,is_vpn,Is_fraud
2977.1,5350.19,2373.09,refund,Delhi,yes,no
1954.13,1999.23,45.1,payment,Chennai,yes,no
9478.63,12516,3037.37,refund,Kolkata,no,no
1117.31,3699.04,2581.73,withdrawal,Bangalore,yes,yes
7406.47,8709.19,1302.72,refund,Mumbai,no,no
5692.2,8311.36,2619.16,refund,Hyderabad,no,no
8570.8,10370.38,1799.58,withdrawal,Chennai,yes,yes
9785.28,14169.88,4384.6,payment,Hyderabad,yes,yes
7036.97,8164.44,1127.47,payment,Mumbai,no,no
4447.79,7077.63,2629.84,payment,Kolkata,yes,yes
9373.7,12820.43,3446.73,withdrawal,Kolkata,no,yes
796.49,1939.22,1142.73,refund,Delhi,no,no
5907.2,7566.1,1658.9,payment,Bangalore,yes,yes
5392.49,7669,2276.51,withdrawal,Mumbai,no,no
3835.58,8240.39,4404.81,refund,Bangalore,yes,yes
7974.84,8048.79,73.95,payment,Mumbai,no,no
4836.11,6272.13,1436.02,withdrawal,Bangalore,yes,yes
5289.7,5975.39,685.69,refund,Mumbai,no,no
7291.28,7716.28,425,payment,Chennai,yes,yes
274.88,5097.59,4822.71,withdrawal,Kolkata,no,no
7714.14,8979.68,1265.54,payment,Hyderabad,no,no
7587.65,11098.46,3510.81,refund,Delhi,yes,yes
4862.32,8183.7,3321.38,refund,Bangalore,yes,yes
5870.25,9736.49,3866.24,payment,Bangalore,yes,yes
6791.4,6966.01,174.61,withdrawal,Kolkata,yes,yes
2559.53,5374.09,2814.56,payment,Hyderabad,yes,yes
5631.44,7813.8,2182.36,withdrawal,Chennai,no,no
4673.47,4748.89,75.42,payment,Chennai,yes,no
8421.8,11876.96,3455.16,payment,Kolkata,no,no
7362.28,9500.77,2138.49,refund,Mumbai,yes,yes
6196.31,8962.7,2766.39,refund,Delhi,no,no
8180.93,8712.64,531.71,payment,Mumbai,no,no
5185.39,8648.16,3462.77,payment,Hyderabad,yes,yes
5214.76,6014.4,799.64,withdrawal,Chennai,no,no
2578.77,5299.4,2720.63,refund,Kolkata,yes,yes
7191.17,7298.99,107.82,payment,Delhi,no,no
1551.5,2941.12,1389.62,refund,Hyderabad,no,no
5136.05,5789.11,653.06,withdrawal,Bangalore,yes,yes
2572.53,2623.01,50.48,refund,Hyderabad,yes,yes
1050.24,1431.9,381.66,withdrawal,Mumbai,yes,no
8075.49,11298.24,3222.75,payment,Delhi,no,no
9283.32,13686,4402.68,withdrawal,Bangalore,no,yes
5777.8,10035.32,4257.52,payment,Delhi,yes,yes
8296.94,12026.63,3729.69,refund,Delhi,no,no
5180.99,5271.88,90.89,refund,Bangalore,yes,yes
145.66,477.76,332.1,withdrawal,Kolkata,no,no
5840.14,9999.98,4159.84,payment,Bangalore,yes,yes
3839.12,4370.34,531.22,payment,Hyderabad,yes,yes
4517.5,7028.44,2510.94,payment,Chennai,yes,no
8248.38,8415.24,166.86,withdrawal,Hyderabad,yes,yes
3854.2,3861.23,7.03,payment,Hyderabad,yes,yes
1200.95,1591.05,390.1,payment,Hyderabad,yes,yes
7390.67,9421.73,2031.06,refund,Hyderabad,yes,yes
4013.57,5242.99,1229.42,payment,Hyderabad,yes,yes
1512.4,2947.74,1435.34,refund,Mumbai,yes,no
7062.18,8869.22,1807.04,payment,Mumbai,yes,yes
9817.45,11830.12,2012.67,payment,Mumbai,no,no
4035.36,4830.87,795.51,refund,Kolkata,no,no
1334.58,5396.56,4061.98,refund,Mumbai,yes,no
5848.25,7422.84,1574.59,payment,Delhi,yes,yes
4223.16,5527.46,1304.3,payment,Kolkata,yes,yes
5930.89,6678.98,748.09,refund,Mumbai,yes,yes
5511.82,9768.44,4256.62,withdrawal,Kolkata,no,no
5439.83,5645.23,205.4,withdrawal,Delhi,no,no
1211.09,2270.9,1059.81,withdrawal,Bangalore,yes,yes
8225.97,11793.31,3567.34,withdrawal,Hyderabad,no,yes
6883.34,7133.67,250.33,refund,Delhi,yes,yes
9613.46,11073.95,1460.49,refund,Mumbai,no,no
8162.24,8958.24,796,payment,Kolkata,no,no
461.62,3129.31,2667.69,withdrawal,Bangalore,no,no
3585.85,8413.37,4827.52,refund,Mumbai,yes,no
6765.73,8336.35,1570.62,withdrawal,Bangalore,no,no
2690.05,2935.29,245.24,withdrawal,Hyderabad,yes,yes
2137.64,3482.63,1344.99,refund,Delhi,no,no
1132.93,5933.88,4800.95,withdrawal,Mumbai,no,no
7696.07,12394.21,4698.14,payment,Delhi,no,no
8887.64,11177.62,2289.98,withdrawal,Mumbai,yes,yes
6310.38,9595.36,3284.98,payment,Chennai,no,no
865.95,3108.55,2242.6,withdrawal,Hyderabad,no,no
1813.37,6708.88,4895.51,refund,Bangalore,no,no
4983.37,9610.46,4627.09,payment,Chennai,yes,no
2725.29,5301.74,2576.45,refund,Delhi,no,no
5678.95,7491.1,1812.15,withdrawal,Kolkata,no,no
8160.38,12578.18,4417.8,refund,Bangalore,yes,yes
792.76,4705.42,3912.66,payment,Delhi,no,no
9427.06,10705.03,1277.97,refund,Mumbai,no,no
1934.78,3284.38,1349.6,payment,Delhi,no,no
171.78,1757.47,1585.69,payment,Hyderabad,yes,yes
7098.67,7612.02,513.35,withdrawal,Bangalore,yes,yes
7100.65,10781.33,3680.68,withdrawal,Chennai,yes,yes
3490.95,7185.71,3694.76,refund,Bangalore,no,no
6281.36,8023.04,1741.68,payment,Delhi,yes,yes
6347.25,6892.55,545.3,withdrawal,Chennai,yes,yes
4208.93,5719.68,1510.75,refund,Kolkata,yes,yes
5937.48,10583.95,4646.47,refund,Bangalore,no,no
4138.03,7314.5,3176.47,withdrawal,Mumbai,no,no
2598.61,5440.21,2841.6,refund,Kolkata,no,no
6666.79,10732.21,4065.42,refund,Bangalore,no,no
9198.32,13255.04,4056.72,withdrawal,Delhi,yes,yes
4002.68,8762.21,4759.53,refund,Delhi,yes,no
5765.1,10322.8,4557.7,refund,Mumbai,no,no
6068,6562.44,494.44,payment,Hyderabad,yes,yes
7257.2,10524.6,3267.4,refund,Hyderabad,yes,yes
1970.33,2806.13,835.8,refund,Mumbai,yes,no
1248.84,1924.35,675.51,withdrawal,Delhi,no,no
8901.17,12484.85,3583.68,withdrawal,Mumbai,no,yes
4076.1,8506.22,4430.12,payment,Chennai,no,no
9467.35,13389,3921.65,refund,Mumbai,no,no
652.63,2803.21,2150.58,refund,Mumbai,no,no
929.4,2336.39,1406.99,payment,Hyderabad,no,no
1168.3,5984.62,4816.32,payment,Mumbai,no,no
3144.18,5091.28,1947.1,refund,Hyderabad,yes,yes
4286.77,4673.59,386.82,refund,Kolkata,yes,yes
1486.36,5682.52,4196.16,withdrawal,Chennai,yes,no
6168.82,10315.91,4147.09,refund,Chennai,no,no
1081.41,2183.73,1102.32,withdrawal,Chennai,no,no
6851.19,10728.54,3877.35,withdrawal,Mumbai,yes,yes
4354.36,7318.35,2963.99,refund,Delhi,no,no
9467.27,9925.57,458.3,payment,Kolkata,no,no
7584.99,9612.19,2027.2,refund,Delhi,yes,yes
2139.1,3281.76,1142.66,withdrawal,Mumbai,no,no
4425.29,5912.76,1487.47,withdrawal,Mumbai,no,no
3813.22,6555.74,2742.52,refund,Mumbai,no,no
4828.33,7741.74,2913.41,withdrawal,Mumbai,no,no
3928.12,7384.66,3456.54,withdrawal,Bangalore,yes,yes
6681.33,9453.96,2772.63,refund,Hyderabad,yes,yes
8338.42,9044.86,706.44,refund,Kolkata,no,no
3833.2,8286.08,4452.88,refund,Chennai,yes,no
894.4,4239.74,3345.34,refund,Kolkata,no,no
3837.78,7983.91,4146.13,withdrawal,Bangalore,no,no
342.73,4785.4,4442.67,withdrawal,Mumbai,no,no
3374.42,5374.81,2000.39,withdrawal,Delhi,yes,no
9046.23,9339.16,292.93,payment,Delhi,no,no
1479.39,1812.7,333.31,withdrawal,Kolkata,no,no
8342.3,10494.17,2151.87,refund,Chennai,yes,yes
2763.13,6768.27,4005.14,payment,Hyderabad,no,no
8330.15,8925.33,595.18,refund,Hyderabad,no,no
5217.87,8299.33,3081.46,payment,Chennai,no,no
9553.29,14151.24,4597.95,withdrawal,Bangalore,no,yes
3075.67,5506.06,2430.39,refund,Kolkata,no,no
3036.54,3053.37,16.83,refund,Bangalore,no,no
2573.89,3448.32,874.43,payment,Mumbai,no,no
2237.92,2890.75,652.83,refund,Chennai,no,no
7065.18,11680.29,4615.11,refund,Bangalore,yes,yes
1313.39,4655.22,3341.83,withdrawal,Bangalore,yes,yes
9689.77,11307.24,1617.47,withdrawal,Bangalore,yes,yes
8237,10038.51,1801.51,withdrawal,Kolkata,yes,yes
5124.75,10110.27,4985.52,withdrawal,Mumbai,yes,yes
278.5,1231.95,953.45,payment,Hyderabad,no,no
6101.56,10822.35,4720.79,withdrawal,Delhi,yes,yes
5960.43,6021.25,60.82,payment,Bangalore,no,no
5987,7353.58,1366.58,withdrawal,Mumbai,yes,yes
6737.87,7953.77,1215.9,refund,Mumbai,no,no
3178.15,4309.14,1130.99,payment,Delhi,yes,no
6641.53,6810.76,169.23,withdrawal,Bangalore,no,no
84.96,3953.83,3868.87,refund,Bangalore,no,no
1831.52,4464.96,2633.44,refund,Hyderabad,no,no
3281.5,5335.41,2053.91,payment,Kolkata,no,no
3918.19,6646.44,2728.25,refund,Delhi,no,no
8547.81,8551.61,3.8,withdrawal,Chennai,no,yes
3723.61,7716.43,3992.82,withdrawal,Delhi,no,no
5375.56,7823.49,2447.93,withdrawal,Mumbai,no,no
2800.69,3351.84,551.15,payment,Chennai,yes,no
7172.64,11095.3,3922.66,withdrawal,Mumbai,yes,yes
857.5,5140.38,4282.88,payment,Mumbai,yes,no
3660.89,7522,3861.11,payment,Kolkata,no,no
8412.75,13185.64,4772.89,payment,Mumbai,no,no
6246.8,10968.98,4722.18,payment,Bangalore,no,no
7376.35,8785.57,1409.22,payment,Delhi,no,no
9815.14,14278.56,4463.42,refund,Hyderabad,no,no
5136.73,9214.27,4077.54,withdrawal,Chennai,no,no
7530.95,7863.48,332.53,refund,Mumbai,no,no
3743.2,6413.69,2670.49,withdrawal,Hyderabad,no,no
5869.5,7753.62,1884.12,payment,Bangalore,yes,yes
5162,8550.21,3388.21,refund,Hyderabad,no,no
9989.96,11693.31,1703.35,payment,Chennai,no,no
2446.98,6518.49,4071.51,withdrawal,Mumbai,yes,no
4572.74,8973.96,4401.22,refund,Mumbai,yes,no
1329.62,4022.19,2692.57,withdrawal,Mumbai,no,no
7557.96,12051.15,4493.19,refund,Mumbai,yes,yes
9602.08,12024.64,2422.56,payment,Delhi,no,no
2865.42,4994.2,2128.78,refund,Kolkata,no,no
3187.62,5886.4,2698.78,payment,Kolkata,no,no
8292.78,10744.02,2451.24,refund,Delhi,no,no
2552.55,3267.73,715.18,withdrawal,Bangalore,yes,yes
9753.71,10534.96,781.25,withdrawal,Hyderabad,no,yes
7142.52,10957.87,3815.35,payment,Hyderabad,no,no
1225.13,3076.97,1851.84,payment,Bangalore,yes,yes
7297.6,10760.46,3462.86,payment,Hyderabad,yes,yes
5672.45,10266.47,4594.02,refund,Delhi,no,no
8161.43,12491.96,4330.53,withdrawal,Chennai,no,yes
9757.95,14107.05,4349.1,refund,Mumbai,yes,yes
9093.37,12215.3,3121.93,payment,Mumbai,no,no
8820.14,12122.52,3302.38,withdrawal,Hyderabad,yes,yes
7982.61,10643.23,2660.62,refund,Delhi,yes,yes
927.04,5558.03,4630.99,payment,Chennai,no,no
1823.13,5123.02,3299.89,refund,Bangalore,yes,yes
4079.6,8847.59,4767.99,withdrawal,Hyderabad,yes,yes
3584.44,6584.98,3000.54,withdrawal,Mumbai,yes,no
4614.1,7824.55,3210.45,withdrawal,Chennai,no,no
4433.41,6223.35,1789.94,payment,Hyderabad,yes,yes
835.8,2765.29,1929.49,payment,Mumbai,no,no
8328.3,10909.27,2580.97,withdrawal,Delhi,no,yes
8295.29,10215.1,1919.81,payment,Delhi,no,no
4787.43,7205.29,2417.86,refund,Delhi,yes,no
4805.63,8185.65,3380.02,payment,Chennai,yes,no
4371.86,8612.5,4240.64,payment,Chennai,yes,no
4065.25,8929.61,4864.36,refund,Mumbai,yes,no
1071.35,5358.49,4287.14,refund,Kolkata,no,no
6264.08,9677.38,3413.3,refund,Kolkata,yes,yes
8432.22,8792.93,360.71,refund,Bangalore,no,no
6908.1,7988.22,1080.12,refund,Hyderabad,yes,yes
9057.8,11383.7,2325.9,withdrawal,Chennai,no,yes
7431.46,11838.88,4407.42,withdrawal,Chennai,no,no
2788.74,6153.54,3364.8,payment,Kolkata,no,no
4604.32,8455.44,3851.12,withdrawal,Hyderabad,no,no
8633.27,10715.16,2081.89,refund,Mumbai,no,no
5883.91,6779.14,895.23,payment,Hyderabad,no,no
8761.06,10501.82,1740.76,withdrawal,Mumbai,no,yes
1253.58,4400.36,3146.78,payment,Kolkata,yes,yes
2468.03,3436.56,968.53,withdrawal,Chennai,no,no
853.97,2523.3,1669.33,withdrawal,Bangalore,yes,yes
1350.09,5651.44,4301.35,payment,Bangalore,no,no
988.82,5568.66,4579.84,payment,Mumbai,no,no
2533.47,3363.79,830.32,withdrawal,Kolkata,yes,yes
5275.18,6702.58,1427.4,payment,Bangalore,yes,yes
1078.3,5881.69,4803.39,payment,Bangalore,no,no
6457.05,9218.21,2761.16,withdrawal,Kolkata,yes,yes
9639.3,10622.79,983.49,withdrawal,Mumbai,yes,yes
7965.71,10462.08,2496.37,withdrawal,Delhi,no,no
9643.99,11173.39,1529.4,withdrawal,Hyderabad,no,yes
2366.87,6856.25,4489.38,payment,Chennai,no,no
4253.45,5317.64,1064.19,withdrawal,Chennai,no,no
9301.19,12281.94,2980.75,withdrawal,Hyderabad,yes,yes
3485.71,5494.28,2008.57,withdrawal,Bangalore,no,no
1333.9,4098.59,2764.69,withdrawal,Kolkata,yes,yes
5951.95,7976,2024.05,payment,Hyderabad,yes,yes
9780.71,10824.33,1043.62,withdrawal,Kolkata,no,yes
7131.04,9819.67,2688.63,withdrawal,Chennai,yes,yes
2093.71,5021.7,2927.99,payment,Chennai,yes,no
6933.93,11157.98,4224.05,withdrawal,Bangalore,yes,yes
9807.68,13932.61,4124.93,withdrawal,Chennai,yes,yes
1134.94,4754.87,3619.93,refund,Chennai,yes,no
3030.97,5432.31,2401.34,withdrawal,Kolkata,no,no
3934.54,7417.09,3482.55,refund,Bangalore,yes,yes
2084.51,6638.61,4554.1,refund,Kolkata,no,no
6924.85,10877.64,3952.79,withdrawal,Mumbai,no,no
4261.16,7686.78,3425.62,refund,Mumbai,no,no
5368.63,9273.02,3904.39,refund,Chennai,yes,yes
8025.34,11244.5,3219.16,refund,Chennai,yes,yes
6533.77,10649.55,4115.78,payment,Delhi,no,no
3029.28,3780.01,750.73,withdrawal,Kolkata,no,no
5623.78,6796.64,1172.86,refund,Hyderabad,no,no
1502.92,2180.43,677.51,withdrawal,Bangalore,no,no
6102.02,9943.47,3841.45,withdrawal,Kolkata,no,no
8433.91,11517.85,3083.94,withdrawal,Chennai,yes,yes
440.44,1917.03,1476.59,payment,Kolkata,yes,yes
8442.62,12929.52,4486.9,refund,Bangalore,yes,yes
5478.83,9838.49,4359.66,payment,Bangalore,yes,yes
3551.13,4182.57,631.44,refund,Kolkata,yes,yes
1158.88,4104.75,2945.87,payment,Delhi,yes,no
8454.27,12621.23,4166.96,refund,Hyderabad,no,no
9462.07,13008.18,3546.11,withdrawal,Bangalore,yes,yes
6291.1,8626.49,2335.39,refund,Kolkata,no,no
3962.59,5691.79,1729.2,payment,Chennai,yes,no
2452.17,6151.08,3698.91,withdrawal,Chennai,no,no
6694.93,10876.17,4181.24,payment,Kolkata,no,no
2355.85,2504.09,148.24,withdrawal,Mumbai,yes,no
3792.91,8148.02,4355.11,payment,Delhi,yes,no
5036.08,7799.94,2763.86,refund,Chennai,yes,yes
6558.79,8681.68,2122.89,refund,Bangalore,yes,yes
8242.96,11272.49,3029.53,refund,Bangalore,no,no
5176.22,7168.73,1992.51,payment,Hyderabad,no,no
6003.12,9777.77,3774.65,refund,Bangalore,no,no
7191.24,12045.08,4853.84,refund,Mumbai,no,no
3464.51,6119.46,2654.95,refund,Kolkata,no,no
74.96,1814.52,1739.56,withdrawal,Delhi,yes,no
6151.78,9549.54,3397.76,payment,Hyderabad,no,no
5956.15,7743.92,1787.77,withdrawal,Chennai,yes,yes
3129.63,7545.76,4416.13,refund,Delhi,yes,no
691.84,2818.19,2126.35,withdrawal,Delhi,yes,no
3397.78,8034.92,4637.14,payment,Hyderabad,no,no
6626.87,9908.12,3281.25,refund,Chennai,yes,yes
379.16,1202.18,823.02,payment,Delhi,no,no
607.13,4872.27,4265.14,refund,Bangalore,yes,yes
8156.33,9719.57,1563.24,withdrawal,Kolkata,no,yes
4021.71,5737.19,1715.48,payment,Hyderabad,no,no
4298.38,8430.14,4131.76,refund,Delhi,yes,no
7677.06,12263.94,4586.88,refund,Delhi,no,no
7149.72,11417.03,4267.31,payment,Mumbai,yes,yes
7569.57,9331.02,1761.45,payment,Bangalore,no,no
8098.92,12417.54,4318.62,payment,Mumbai,no,no
43.56,1086.65,1043.09,withdrawal,Hyderabad,yes,yes
3124.81,3680.45,555.64,payment,Kolkata,no,no
5026.39,9929.18,4902.79,payment,Kolkata,no,no
1817.64,6812.07,4994.43,refund,Bangalore,no,no
2204.98,2569.68,364.7,payment,Delhi,no,no
4879.21,6302.05,1422.84,withdrawal,Kolkata,yes,yes
8993.53,12736.91,3743.38,withdrawal,Mumbai,no,yes
7416.33,10918.46,3502.13,payment,Bangalore,no,no
8945.41,11621.73,2676.32,refund,Kolkata,yes,yes
9463.81,13437.42,3973.61,withdrawal,Hyderabad,no,yes
3888.01,5871.58,1983.57,payment,Hyderabad,no,no
862.4,2396.47,1534.07,refund,Bangalore,yes,yes
5705.82,7781.8,2075.98,withdrawal,Mumbai,no,no
8603.72,12819.81,4216.09,payment,Mumbai,no,no
4383.83,7530.78,3146.95,withdrawal,Hyderabad,no,no
6583.59,6888.64,305.05,payment,Chennai,no,no
6576.56,7570.26,993.7,payment,Delhi,no,no
1295.99,2937.97,1641.98,withdrawal,Mumbai,no,no
8468.25,12418.5,3950.25,payment,Bangalore,no,no
4256.83,7804.25,3547.42,withdrawal,Kolkata,yes,yes
1914.75,6223.59,4308.84,refund,Delhi,no,no
8439.01,9273.25,834.24,withdrawal,Mumbai,yes,yes
6675.18,7724.43,1049.25,payment,Delhi,no,no
2499.77,5406.9,2907.13,withdrawal,Kolkata,yes,yes
66.38,987.75,921.37,withdrawal,Bangalore,no,no
8437.5,13436.65,4999.15,refund,Kolkata,yes,yes
3415.49,6224.08,2808.59,payment,Delhi,no,no
104.18,2848.41,2744.23,withdrawal,Delhi,yes,no
7888.12,10307.31,2419.19,withdrawal,Delhi,no,no
1377.1,2138.93,761.83,refund,Delhi,yes,no
8584.4,10934.66,2350.26,refund,Chennai,yes,yes
3275.74,7311.57,4035.83,payment,Bangalore,no,no
2918.89,6876.5,3957.61,withdrawal,Delhi,no,no
5727.2,6085.83,358.63,payment,Bangalore,yes,yes
7747.18,9531.45,1784.27,withdrawal,Delhi,yes,yes
6615.33,10630.23,4014.9,payment,Kolkata,no,no
2968.6,3159.51,190.91,withdrawal,Chennai,no,no
6592.04,7045.41,453.37,payment,Kolkata,no,no
229.37,983.47,754.1,withdrawal,Hyderabad,yes,yes
1137.95,2700.15,1562.2,payment,Mumbai,no,no
9181.68,13063.43,3881.75,payment,Hyderabad,no,no
5742.2,9008.25,3266.05,withdrawal,Chennai,no,no
3691.09,4682.74,991.65,payment,Bangalore,yes,yes
5590.85,7654.58,2063.73,payment,Delhi,yes,yes
4950.07,9588.67,4638.6,refund,Chennai,no,no
1204.27,2582.03,1377.76,withdrawal,Kolkata,no,no
7857.8,11867.19,4009.39,withdrawal,Delhi,yes,yes
2531.46,5278.28,2746.82,withdrawal,Mumbai,yes,no
1311.45,2999.55,1688.1,refund,Mumbai,yes,no
1356.03,2878.06,1522.03,refund,Delhi,no,no
1460.8,2540.37,1079.57,payment,Chennai,no,no
3436.34,5130.27,1693.93,payment,Bangalore,yes,yes
9227.7,10611.62,1383.92,payment,Hyderabad,yes,yes
976.39,5155.02,4178.63,withdrawal,Delhi,yes,no
8580.79,9216.79,636,refund,Delhi,yes,yes
3113.57,3515.11,401.54,payment,Chennai,no,no
4087.68,6057.79,1970.11,withdrawal,Mumbai,yes,no
6710.35,11332.88,4622.53,refund,Hyderabad,no,no
8930.47,9327.12,396.65,withdrawal,Chennai,yes,yes
8508.83,11775.25,3266.42,withdrawal,Delhi,yes,yes
9329.82,13128.16,3798.34,payment,Chennai,no,no
9822.13,10781.48,959.35,payment,Hyderabad,yes,yes
4195.08,7986.86,3791.78,withdrawal,Chennai,no,no
3892.93,7631.14,3738.21,payment,Mumbai,no,no
92.7,965.87,873.17,payment,Mumbai,no,no
5967.74,7749.29,1781.55,payment,Chennai,yes,yes
6099.9,7649.47,1549.57,withdrawal,Hyderabad,yes,yes
9935.14,13262.48,3327.34,payment,Mumbai,yes,yes
3932,6722.65,2790.65,refund,Bangalore,no,no
335.45,4371.67,4036.22,payment,Hyderabad,no,no
6328.68,7201.4,872.72,payment,Chennai,yes,yes
5479.23,5834.11,354.88,refund,Chennai,yes,yes
6792.61,11629.44,4836.83,refund,Hyderabad,no,no
7691.06,12236.07,4545.01,payment,Mumbai,no,no
510.69,3500.9,2990.21,withdrawal,Bangalore,no,no
7942.25,11717.34,3775.09,withdrawal,Hyderabad,yes,yes
506.22,2153.14,1646.92,withdrawal,Mumbai,no,no
6869.53,11568.26,4698.73,payment,Delhi,no,no
9094.04,9307.94,213.9,payment,Kolkata,yes,yes
3406.58,5989.48,2582.9,payment,Kolkata,yes,yes
8558.76,9194.17,635.41,refund,Delhi,yes,yes
3173.2,3248.83,75.63,withdrawal,Chennai,yes,no
6408.19,8040.92,1632.73,payment,Chennai,no,no
171.65,1213.49,1041.84,refund,Mumbai,yes,no
370.11,4610.13,4240.02,withdrawal,Kolkata,yes,yes
5130.54,8707.2,3576.66,payment,Hyderabad,no,no
709.2,3796.36,3087.16,refund,Mumbai,no,no
8578.24,8851.68,273.44,payment,Chennai,yes,yes
816.01,4793.87,3977.86,refund,Chennai,no,no
2563.85,5460.06,2896.21,payment,Delhi,yes,no
965.53,2435.4,1469.87,payment,Chennai,no,no
